ADDRESS;METRIC;2018 jan;2018 feb;2018 mar;2018 apr;2018 maj;2018 jun;2018 jul;2018 aug;2018 sep;2018 okt;2018 nov;2018 dec
Kapstigen 30 Tv−ttst ;MWh;75890;75970;74250;47060;20420;16870;14890;15500;26800;48300;58310;75760;
 Ringv−gen 17 A  ;m3;390;353;391;180;190;175;153;153;158;235;282;349;
 Ringv−gen 17 A  ;MWh;17026;17145;16998;11644;6021;4714;3282;4748;7088;10918;12863;16109;
 Ringv−gen 17 A  ;kWh;1104;1097;1000;940;624;351;392;427;493;794;969;991;
 Ringv−gen 17 B  ;kWh;73;65;68;62;58;51;58;65;149;102;79;81;
 Alsb−ck 143  ;kWh;2571;2624;2083;1545;1544;1373;1560;1547;1462;1912;1953;2482;
 Alsb−ck 143  ;m3;424;352;168;125;130;125;130;77;107;229;236;391;
 Alsb−ck 143  ;MWh;19275;19537;19826;12447;4635;3570;2500;3350;5901;11130;3515;30203;
 Klıverstigen 10 A-D  ;kWh;3873;3640;3913;3244;3343;3113;3330;3265;3083;3396;3772;4331;
 Klıverstigen 10 A-D  ;MWh;0091;0091;0112;0057;0106;0106;0042;0082;0056;0119;0074;0094;
 Klıverstigen 12 A-D  ;kWh;3406;3103;3150;2524;2148;2006;2020;2063;2177;2515;2784;3167;
 Klıverstigen 14 A-D ;kWh;6510;5922;6179;4069;3611;3229;3144;3375;3522;3971;4073;4320;
 Klıverstigen 16 -20 ;m3;6715;6570;6230;3691;1138;788;444;860;1553;3683;5289;7095;
 Klıverstigen 16 -20 ;MWh;260030;263170;257370;157640;56250;46010;27550;47480;88440;157080;198560;257600;
 Klıverstigen 16 -20 ;kWh;20090;17610;18054;16915;16653;17047;18103;18025;17003;18040;17216;18006;
 Klıverstigen 18 A-D  ;kWh;1940;1777;1909;1654;1493;1439;1394;1507;1570;1714;1522;1638;
 Klıverstigen 2 A-D  ;kWh;1130;1011;1119;1119;1189;1144;1149;1183;1130;1168;1121;1164;
 Klıverstigen 22 A-D  ;kWh;1682;1532;1645;1503;1464;1415;1447;1530;1526;1602;1602;1703;
 Klıverstigen 24 A-D  ;m3;2981;2744;2789;1830;839;636;538;676;930;1818;2611;3497;
 Klıverstigen 24 A-D  ;MWh;182720;179380;177960;112150;54630;45100;38930;45850;65580;107960;138740;181680;
 Klıverstigen 24 A-D  ;kWh;3923;3363;3433;3154;2573;2442;1966;2479;2968;3349;3346;3549;
 Klıverstigen 26 A-D  ;kWh;1089;3587;1007;993;960;920;940;876;1067;1172;1104;1146;
 Klıverstigen 28 A-D  ;kWh;1774;1647;1825;1733;1725;1580;1578;1565;1552;1626;1551;1597;
 Klıverstigen 30 A-D  ;m3;2237;2012;2034;1325;725;583;470;570;729;1299;1686;2096;
 Klıverstigen 30 A-D  ;MWh;134440;131360;129930;81450;46040;39790;32290;37420;48950;77150;95770;124470;
 Klıverstigen 30 A-D  ;kWh;2328;2162;2280;2057;1651;1566;1415;1637;1882;2217;2222;2321;
 Klıverstigen 4 A-D  ;kWh;1263;1124;1276;1248;1326;1253;1316;1288;1246;1269;1226;1222;
 Klıverstigen 6 A-D  ;kWh;1353;1208;1324;1289;1348;1304;1376;1391;1371;1399;1357;1380;
 Klıverstigen 8 A-D  ;m3;3630;3230;3370;2112;926;701;602;731;1100;2160;2806;3595;
 Klıverstigen 8 A-D  ;MWh;216470;211930;211440;129130;62800;52880;46930;53660;83520;135430;162330;210360;
 Klıverstigen 8 A-D  ;kWh;4178;3569;3320;3357;3317;3183;2536;3571;3816;3611;3669;3872;
 Kornstigen 1 A-D  ;kWh;1184;1102;1259;1253;1266;1197;1202;1216;1198;1218;1168;1192;
 Kornstigen 11 A-E  ;kWh;1432;1273;1299;1317;1384;1331;1356;1349;1181;1233;1347;1364;
 Kornstigen 13 A-D  ;kWh;1470;1370;1566;1469;1472;1407;1395;1446;1443;1512;1465;1551;
 Kornstigen 15 A-C  ;m3;850;802;798;481;272;134;100;141;243;463;636;841;
 Kornstigen 15 A-C  ;MWh;53045;53502;51582;28745;15393;6304;3988;6194;14986;27746;37415;51096;
 Kornstigen 15 A-C  ;kWh;28810;25882;26931;22252;18688;12386;10938;12945;20072;26140;27873;25268;
 Kornstigen 17 A-D  ;kWh;1449;1314;1456;1338;1300;1226;1188;1273;1345;1416;1385;1446;
 Kornstigen 21 A-D  ;kWh;1640;1478;1608;1460;1453;1381;1396;1418;1422;1515;1502;1619;
 Kornstigen 23 A-E  ;kWh;5196;4732;4697;4394;3515;3367;2820;3196;3902;4464;4755;4844;
 Kornstigen 23 A-E  ;m3;3226;2837;2938;1902;787;562;471;579;873;2020;2501;3138;
 Kornstigen 23 A-E  ;MWh;190960;185680;181800;115050;53940;43130;37450;42090;63750;113260;137700;176290;
 Kornstigen 25 A-E  ;m3;2585;2205;2188;1323;720;652;430;503;659;1296;1762;2371;
 Kornstigen 25 A-E  ;MWh;162360;150580;145050;82700;46650;41690;29310;32520;45360;78310;102930;139400;
 Kornstigen 25 A-E  ;kWh;11431;10210;10349;9794;8385;4773;7064;7455;8325;10211;9759;10393;
 Kornstigen 27 A-D  ;kWh;2031;1864;2024;1711;1598;1457;1404;1501;1582;1820;1950;2110;
 Kornstigen 29 A-D  ;kWh;1727;1586;1756;1613;1603;1542;1521;1525;1518;1545;1515;1609;
 Kornstigen 3 A-E  ;kWh;1478;1384;1685;1551;1595;1504;1576;1547;1558;1599;1558;1584;
 Kornstigen 5 A-D  ;kWh;1210;1140;1289;1265;1341;1285;1286;1305;1271;1294;1254;1278;
 Kornstigen 7 A-E  ;m3;3871;3480;3697;2398;1191;860;768;862;1155;2535;3403;4174;
 Kornstigen 7 A-E  ;MWh;239300;235590;241450;151460;84290;67650;62410;65090;86640;149470;181780;230770;
 Kornstigen 7 A-E  ;kWh;3954;3645;3773;3413;2826;2627;2557;2580;2872;3293;3260;3366;
 Kornstigen 9 A-E  ;kWh;4165;3499;3621;3276;2841;2505;2458;2697;3127;3374;3395;3874;
 Kornstigen 9 A-E  ;m3;3141;2809;3002;2023;1012;733;594;741;948;1883;2503;3132;
 Kornstigen 9 A-E  ;MWh;191170;186410;193310;127240;70180;56050;46730;54500;69770;114700;145030;185040;
Tv−ttstuga 1 Klıverstigen ;kWh;6953;6530;7120;6626;5923;6209;5352;6248;7463;7209;6867;6919;
Tv−ttstuga 2 Kornstigen 7-9 ;kWh;5047;4363;4730;5215;4719;4642;4450;4467;5082;4868;4861;5526;
Tv−ttstuga 3 Kornstigen 21-23 ;kWh;7756;6767;7265;7114;6913;6276;6533;6866;7392;7554;7626;7892;
 Jan Ers gata 1  ;m3;1504;1375;1396;786;214;158;73;152;288;735;1081;1486;
 Jan Ers gata 1  ;MWh;74750;74550;72660;38400;9560;7720;2460;6860;16030;36480;51980;71840;
 Jan Ers gata 1  ;kWh;9807;8630;9278;8798;7972;8013;8048;9385;9757;10312;10354;10720;
 Fritidsg„rd Tj−ngan  ;m3;187;146;139;104;48;53;13;44;77;103;140;175;
 Fritidsg„rd Tj−ngan  ;MWh;7904;7088;6141;3652;0949;0900;0509;0845;2018;3609;5416;7457;
Tv−ttstuga/v−rmecentral ;m3;1509;1461;1473;1059;615;485;396;530;626;976;1231;1525;
Tv−ttstuga/v−rmecentral ;MWh;91740;93790;90450;56470;29780;24340;18820;23310;33760;53660;67740;88850;
Tv−ttstuga/v−rmecentral ;kWh;3432;3268;4417;3712;2878;2418;2396;2650;2782;3565;3674;3817;
: 211  Solen 3  ;kWh;354;316;346;320;331;316;343;339;358;348;341;351;
 Stj−rngatan 13  ;kWh;460;390;468;443;398;405;423;413;445;546;520;544;
 Stj−rngatan 17 A-K  ;kWh;1297;783;1169;1195;1225;1159;1233;1285;1401;1433;1419;1484;
 Stj−rngatan 2 A-E  ;kWh;964;793;772;641;553;469;501;630;730;866;928;1009;
 Kometgatan 10 A-E  ;kWh;1046;1075;1030;516;285;234;261;325;392;542;759;1034;
 Kometgatan 8 A-E  ;kWh;618;487;503;419;372;247;262;307;361;442;466;450;
: 213  Solen 5  ;kWh;9055;8721;9093;7330;4230;4250;3241;4317;5883;7779;8374;9741;
 Meteorgatan 10 A-E  ;kWh;402;342;325;267;233;246;236;345;420;565;694;904;
: 215  Solen 7  ;kWh;632;564;607;562;570;524;602;614;602;620;603;630;
 M„ngatan 2  ;m3;1002;977;973;652;369;262;212;294;391;568;749;971;
 M„ngatan 2  ;MWh;58350;60550;57500;34550;19490;13820;10390;13320;23200;32000;41600;54640;
 M„ngatan 2  ;kWh;7049;6848;6904;6474;5460;4045;3740;4144;5818;6589;6480;5900;
 M„ngatan 4  ;kWh;9318;9165;9810;7456;5973;4579;4166;4938;6468;7683;7977;7805;
 M„ngatan 6  ;kWh;13967;12682;11346;9814;8425;6786;6624;6694;9017;11983;12909;11620;
