141	536249 (anl)	10201-005: 201  Klıverstigen 10 A-D  (Byggnad )
142	536253 (anl)	10201-006: 201  Klıverstigen 12 A-D  (Byggnad )
143	536254 (anl)	10201-008: 201  Klıverstigen 14 A-D (Byggnad )
144	536252 (anl)	10201-009: 201  Klıverstigen 16 -20 (Byggnad )
144	536252 (anl)	10201-009: 201  Klıverstigen 16 -20 (Byggnad )
145	637382 (anl)	10201-009: 201  Klıverstigen 16 -20 (Byggnad )
146	536255 (anl)	10201-012: 201  Klıverstigen 18 A-D  (Byggnad )
147	536241 (anl)	10201-002: 201  Klıverstigen 2 A-D  (Byggnad )
148	536256 (anl)	10201-013: 201  Klıverstigen 22 A-D  (Byggnad )
148	536258 (anl)	10201-013: 201  Klıverstigen 22 A-D  (Byggnad )
149	536260 (anl)	10201-014: 201  Klıverstigen 24 A-D  (Byggnad )
149	536260 (anl)	10201-014: 201  Klıverstigen 24 A-D  (Byggnad )
150	638010 (anl)	10201-014: 201  Klıverstigen 24 A-D  (Byggnad )
151	536261 (anl)	10201-015: 201  Klıverstigen 26 A-D  (Byggnad )
152	536262 (anl)	10201-016: 201  Klıverstigen 28 A-D  (Byggnad )
153	536265 (anl)	10201-017: 201  Klıverstigen 30 A-D  (Byggnad )
153	536265 (anl)	10201-017: 201  Klıverstigen 30 A-D  (Byggnad )
154	638012 (anl)	10201-017: 201  Klıverstigen 30 A-D  (Byggnad )
155	536244 (anl)	10201-001: 201  Klıverstigen 4 A-D  (Byggnad )
156	536242 (anl)	10201-003: 201  Klıverstigen 6 A-D  (Byggnad )
156	536243 (anl)	10201-003: 201  Klıverstigen 6 A-D  (Byggnad )
157	536247 (anl)	10201-004: 201  Klıverstigen 8 A-D  (Byggnad )
157	536247 (anl)	10201-004: 201  Klıverstigen 8 A-D  (Byggnad )
158	638008 (anl)	10201-004: 201  Klıverstigen 8 A-D  (Byggnad )
159	536289 (anl)	10201-031: 201  Kornstigen 1 A-D  (Byggnad )
160	536280 (anl)	10201-027: 201  Kornstigen 11 A-E  (Byggnad )
161	536279 (anl)	10201-026: 201  Kornstigen 13 A-D  (Byggnad )
162	619327 (anl)	10201-033: 201  Kornstigen 15 A-C  (Byggnad )
162	619327 (anl)	10201-033: 201  Kornstigen 15 A-C  (Byggnad )
163	619610 (anl)	10201-033: 201  Kornstigen 15 A-C  (Byggnad )
164	536276 (anl)	10201-023: 201  Kornstigen 17 A-D  (Byggnad )
165	536275 (anl)	10201-022: 201  Kornstigen 21 A-D  (Byggnad )
166	642221 (anl)	10201-021: 201  Kornstigen 23 A-E  (Byggnad )
166	536272 (anl)	10201-021: 201  Kornstigen 23 A-E  (Byggnad )
167	536272 (anl)	10201-021: 201  Kornstigen 23 A-E  (Byggnad )
167	638004 (anl)	10201-021: 201  Kornstigen 23 A-E  (Byggnad )
168	536269 (anl)	10201-020: 201  Kornstigen 25 A-E  (Byggnad )
168	536269 (anl)	10201-020: 201  Kornstigen 25 A-E  (Byggnad )
169	638006 (anl)	10201-020: 201  Kornstigen 25 A-E  (Byggnad )
170	536267 (anl)	10201-019: 201  Kornstigen 27 A-D  (Byggnad )
171	536266 (anl)	10201-018: 201  Kornstigen 29 A-D  (Byggnad )
172	536290 (anl)	10201-032: 201  Kornstigen 3 A-E  (Byggnad )
173	536288 (anl)	10201-030: 201  Kornstigen 5 A-D  (Byggnad )
174	536287 (anl)	10201-029: 201  Kornstigen 7 A-E  (Byggnad )
174	536287 (anl)	10201-029: 201  Kornstigen 7 A-E  (Byggnad )
175	638321 (anl)	10201-029: 201  Kornstigen 7 A-E  (Byggnad )
176	536284 (anl)	10201-028: 201  Kornstigen 9 A-E  (Byggnad )
176	536283 (anl)	10201-028: 201  Kornstigen 9 A-E  (Byggnad )
177	536283 (anl)	10201-028: 201  Kornstigen 9 A-E  (Byggnad )
177	638002 (anl)	10201-028: 201  Kornstigen 9 A-E  (Byggnad )
178	633581 (anl)	201 Tv−ttstuga 1 Klıverstigen (Byggnad )
179	635970 (anl)	201 Tv−ttstuga 2 Kornstigen 7-9 (Byggnad )
180	642465 (anl)	201 Tv−ttstuga 3 Kornstigen 21-23 (Byggnad )
181	536320 (anl)	10204-101: 204  Jan Ers gata 1  (Byggnad )
181	536320 (anl)	10204-101: 204  Jan Ers gata 1  (Byggnad )
182	638129 (anl)	10204-101: 204  Jan Ers gata 1  (Byggnad )
183	536292 (anl)	10205-001: 205  Fritidsg„rd Tj−ngan  (Byggnad )
183	536292 (anl)	10205-001: 205  Fritidsg„rd Tj−ngan  (Byggnad )
184	536789 (anl)	210 Tv−ttstuga/v−rmecentral (Byggnad )
184	536789 (anl)	210 Tv−ttstuga/v−rmecentral (Byggnad )
185	637929 (anl)	210 Tv−ttstuga/v−rmecentral (Byggnad )
186	536224 (anl)	10211: 211  Solen 3  (Fastighet)
186	536231 (anl)	10211: 211  Solen 3  (Fastighet)
187	536225 (anl)	10211: 211  Solen 3  (Fastighet)
187	536226 (anl)	10211: 211  Solen 3  (Fastighet)
188	536227 (anl)	10211: 211  Solen 3  (Fastighet)
189	536228 (anl)	10211-007: 211  Stj−rngatan 13  (Byggnad )
190	536229 (anl)	10211-009: 211  Stj−rngatan 17 A-K  (Byggnad )
191	536230 (anl)	10211-014: 211  Stj−rngatan 2 A-E  (Byggnad )
192	536221 (anl)	10213-011: 213  Kometgatan 10 A-E  (Byggnad )
193	536222 (anl)	10213-012: 213  Kometgatan 8 A-E  (Byggnad )
194	536217 (anl)	10213: 213  Solen 5  (Fastighet)
194	536218 (anl)	10213: 213  Solen 5  (Fastighet)
195	536215 (anl)	10213: 213  Solen 5  (Fastighet)
195	536219 (anl)	10213: 213  Solen 5  (Fastighet)
196	536220 (anl)	10213: 213  Solen 5  (Fastighet)
196	536223 (anl)	10213: 213  Solen 5  (Fastighet)
197	536216 (anl)	10213: 213  Solen 5  (Fastighet)
198	536212 (anl)	10215-010: 215  Meteorgatan 10 A-E  (Byggnad )
199	536208 (anl)	10215: 215  Solen 7  (Fastighet)
199	536206 (anl)	10215: 215  Solen 7  (Fastighet)
200	536209 (anl)	10215: 215  Solen 7  (Fastighet)
200	536214 (anl)	10215: 215  Solen 7  (Fastighet)
201	536207 (anl)	10215: 215  Solen 7  (Fastighet)
201	536213 (anl)	10215: 215  Solen 7  (Fastighet)
202	536211 (anl)	10215: 215  Solen 7  (Fastighet)
203	536203 (anl)	10216-003: 216  M„ngatan 2  (Byggnad )
203	536203 (anl)	10216-003: 216  M„ngatan 2  (Byggnad )
204	638119 (anl)	10216-003: 216  M„ngatan 2  (Byggnad )
205	638121 (anl)	10216-002: 216  M„ngatan 4  (Byggnad )
206	638124 (anl)	10216-001: 216  M„ngatan 6  (Byggnad )
207	536200 (anl)	10217-001: 217  M„ngatan 1  (Byggnad )
208	637340 (anl)	10217-002: 217  M„ngatan 3  (Byggnad )
209	536198 (anl)	10217-003: 217  M„ngatan 5  (Byggnad )
210	637933 (anl)	10221: 221  Norrskenet 1  (Fastighet)
210	536173 (anl)	10221: 221  Norrskenet 1  (Fastighet)
211	536174 (anl)	10221: 221  Norrskenet 1  (Fastighet)
211	536179 (anl)	10221: 221  Norrskenet 1  (Fastighet)
212	536176 (anl)	10221: 221  Norrskenet 1  (Fastighet)
212	536175 (anl)	10221: 221  Norrskenet 1  (Fastighet)
213	536177 (anl)	10221: 221  Norrskenet 1  (Fastighet)
213	536170 (anl)	10221: 221  Norrskenet 1  (Fastighet)
214	536171 (anl)	10221: 221  Norrskenet 1  (Fastighet)
214	536172 (anl)	10221: 221  Norrskenet 1  (Fastighet)
215	536178 (anl)	10221: 221  Norrskenet 1  (Fastighet)
216	536187 (anl)	10222: 222  Planeten 2  (Fastighet)
216	536183 (anl)	10222: 222  Planeten 2  (Fastighet)
217	536185 (anl)	10222: 222  Planeten 2  (Fastighet)
217	536184 (anl)	10222: 222  Planeten 2  (Fastighet)
218	536180 (anl)	10222: 222  Planeten 2  (Fastighet)
218	536186 (anl)	10222: 222  Planeten 2  (Fastighet)
219	536181 (anl)	10222: 222  Planeten 2  (Fastighet)
219	536182 (anl)	10222: 222  Planeten 2  (Fastighet)
220	536193 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
220	536192 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
221	536191 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
221	536190 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
222	536188 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
222	536195 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
223	536189 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
223	536194 (anl)	10224: 224  Regnb„gen 1  (Fastighet)
224	536234 (anl)	225 Uthus/ V−rmecentral (Utrymme)
224	536234 (anl)	225 Uthus/ V−rmecentral (Utrymme)
225	536232 (anl)	225 Uthus/ V−rmecentral (Utrymme)
226	617417 (anl)	10226-001: 226  Jaxtorget 9  (Byggnad )
226	617417 (anl)	10226-001: 226  Jaxtorget 9  (Byggnad )
227	616657 (anl)	10226-001: 226  Jaxtorget 9  (Byggnad )
227	616660 (anl)	10226-001: 226  Jaxtorget 9  (Byggnad )
228	616662 (anl)	10226-001: 226  Jaxtorget 9  (Byggnad )
229	619859 (anl)	10231-004: 231  St„nggatan 27 A-H  (Byggnad )
229	619859 (anl)	10231-004: 231  St„nggatan 27 A-H  (Byggnad )
230	619864 (anl)	10231-005: 231  St„nggatan 33 A-H  (Byggnad )
230	619864 (anl)	10231-005: 231  St„nggatan 33 A-H  (Byggnad )
231	536237 (anl)	10231-013: 231  St„nggatan 41 A-H  (Byggnad )
232	619858 (anl)	10231-009: 231  St„nggatan 43 A-H  (Byggnad )
232	619858 (anl)	10231-009: 231  St„nggatan 43 A-H  (Byggnad )
233	536764 (anl)	241 Fırr„d 1 / 5-19 (Utrymme)
234	536776 (anl)	241 Fırr„d 10 / 151-165 (Utrymme)
235	536766 (anl)	241 Fırr„d 2 / 21-35 (Utrymme)
236	536769 (anl)	241 Fırr„d 3 / 39-53 (Utrymme)
237	536770 (anl)	241 Fırr„d 4 / 55-69 (Utrymme)
238	536771 (anl)	241 Fırr„d 5 /71-119 (Utrymme)
239	536772 (anl)	241 Fırr„d 6 / 89-103 (Utrymme)
240	536773 (anl)	241 Fırr„d 7 / 105-119 (Utrymme)
241	536774 (anl)	241 Fırr„d 8 / 121-133 (Utrymme)
242	536775 (anl)	241 Fırr„d 9 / 135-149 (Utrymme)
243	637388 (anl)	10243-001: 243  Pilt Jans v−g 41  (Byggnad )
244	536779 (anl)	10301-003: 301 Norr Amsberg 402 fd l−rarbostad (Byggnad )
245	637935 (anl)	301 Norr Amsberg Garage (Byggnad )
245	3657815 (anl)	301 Norr Amsberg Garage (Byggnad )
246	3657815 (anl)	301 Norr Amsberg Garage (Byggnad )
247	536563 (anl)	10302-007: 302  Bysjın 11 A-D  (Byggnad )
248	536565 (anl)	10302-010: 302  Bysjın 17  (Byggnad )
249	536567 (anl)	10302-012: 302  Bysjın 21 A-B  (Byggnad )
250	536562 (anl)	10302-003: 302  Bysjın 3 A-D  (Byggnad )
251	536568 (anl)	10302-014: 302  Bysjın 6 A-C  (Byggnad )
252	536564 (anl)	302 Kvarterslokal (Byggnad )
253	536561 (anl)	302 Tv−ttstuga (Byggnad )
253	536561 (anl)	302 Tv−ttstuga (Byggnad )
254	536566 (anl)	302 Tv−ttstuga (Byggnad )
255	536554 (anl)	10303-002: 303  Lugna gatan 4 A-C  (Byggnad )
255	536554 (anl)	10303-002: 303  Lugna gatan 4 A-C  (Byggnad )
256	536552 (anl)	10303-002: 303  Lugna gatan 4 A-C  (Byggnad )
257	536555 (anl)	10303-001: 303  Lugna gatan 6 A-C  (Byggnad )
258	3660432 (anl)	306 Predikantgatan 18 (Byggnad )
258	3660432 (anl)	306 Predikantgatan 18 (Byggnad )
259	82708 (anl)	306 Predikantgatan 18 (Byggnad )
260	82518 (anl)	10308: 308 Kungsljuset (Fastighet)
261	3659987 (anl)	308 Ringargatan 63 A-E (Byggnad )
261	3659987 (anl)	308 Ringargatan 63 A-E (Byggnad )
262	3659983 (anl)	308 Ringargatan 63 F-J (Byggnad )
262	3659983 (anl)	308 Ringargatan 63 F-J (Byggnad )
263	3660555 (anl)	308 Ringargatan 65 (Byggnad )
263	3660555 (anl)	308 Ringargatan 65 (Byggnad )
264	3659602 (anl)	309 Majgatan 5 A-L (Byggnad )
264	3659602 (anl)	309 Majgatan 5 A-L (Byggnad )
265	82414 (anl)	309 Majgatan 5 A-L (Byggnad )
